transaction_id,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,price
23722353X,a treasure trove,punggol walk,condominium,19,matilda,punggol,may-21,1130,11 to 15,1340000
50936918,coco palms,pasir ris grove,condominium,18,pasir ris central,pasir ris,jun-19,753,06 to 10,950000
48975828,ritz mansions,balestier road,apartment,12,balestier,novena,sep-21,1604,01 to 05,1840000
31190987,whitewater,pasir ris street 72,executive condominium,18,pasir ris west,pasir ris,jul-19,1141,06 to 10,835000
32825724,parc centros,punggol central,condominium,19,matilda,punggol,apr-19,764,11 to 15,890000
54200633X,thomson grand,sin ming walk,condominium,20,upper thomson,bishan,jan-21,969,11 to 15,1368000
51154070,parc esta,sims avenue,apartment,14,geylang east,geylang,jul-19,926,01 to 05,1540000
19511144,regent grove,choa chu kang north 7,condominium,23,yew tee,choa chu kang,oct-20,1173,11 to 15,800000
31658481,parc life,sembawang crescent,executive condominium,27,sembawang central,sembawang,may-18,1066,11 to 15,958700
14688468,residences @ killiney,killiney road,apartment,9,oxley,river valley,dec-19,1625,06 to 10,3415000
21973129,optima @ tanah merah,tanah merah kechil avenue,condominium,16,bedok north,bedok,feb-21,484,11 to 15,690000
97929128X,affinity at serangoon,serangoon north avenue 1,apartment,19,serangoon garden,serangoon,may-20,-1,11 to 15,804000
39571483,mandarin gardens,siglap road,condominium,15,siglap,bedok,may-17,1001,01 to 05,840000
37405636,signature park,toh tuck road,condominium,21,anak bukit,bukit timah,jul-19,1421,06 to 10,1850000
78736832,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,mar-19,1033,06 to 10,1299000
28063416,whistler grand,west coast vale,apartment,5,west coast,clementi,dec-18,1066,11 to 15,1405600
37438619,guillemard edge,lorong 30 geylang,apartment,14,aljunied,geylang,jan-21,861,06 to 10,760000
96419690,langston ville,kim yam road,apartment,9,institution hill,river valley,apr-21,936,06 to 10,1580000
52829042,canninghill piers,clarke quay,apartment,6,clarke quay,singapore river,nov-21,441,21 to 25,1318000
71362461,meyerhouse,meyer road,condominium,15,mountbatten,marine parade,jul-21,5662,01 to 05,13655000
18813677,high park residences,fernvale road,apartment,28,fernvale,sengkang,aug-19,581,21 to 25,735000
58967569,palm isles,flora drive,condominium,17,flora drive,pasir ris,jan-20,1119,06 to 10,1050000
34952810,parc komo,upper changi road north,apartment,17,flora drive,pasir ris,jun-19,721,01 to 05,1056000
54197118,hillington green,hillview avenue,condominium,23,hillview,bukit batok,feb-21,1927,01 to 05,1965000
16801944,parc komo,upper changi road north,apartment,17,flora drive,pasir ris,nov-20,721,01 to 05,1107000
25140550,piermont grand,sumang walk,executive condominium,19,punggol town centre,punggol,jul-19,1507,16 to 20,1678400
98130376,charming garden,king's road,condominium,10,farrer court,bukit timah,apr-17,1819,01 to 05,2450000
44352830,watertown,punggol central,apartment,19,punggol town centre,punggol,sep-19,527,06 to 10,718000
76800519,casa al mare,jalan loyang besar,apartment,17,pasir ris park,pasir ris,jul-21,775,01 to 05,1281000
38786380,braddell view,braddell hill,apartment,20,toa payoh west,toa payoh,aug-21,1453,11 to 15,1340000
59960684,park colonial,woodleigh lane,condominium,13,woodleigh,toa payoh,jul-18,980,06 to 10,1584000
73548423,sengkang grand residences,compassvale bow,apartment,19,compassvale,sengkang,nov-19,474,06 to 10,821600
96913316,centro residences,ang mo kio avenue 8,condominium,20,ang mo kio town centre,ang mo kio,apr-21,1001,21 to 25,1508000
98856209,park colonial,woodleigh lane,condominium,13,woodleigh,toa payoh,oct-19,1410,01 to 05,2362000
59722402,d'weave,lorong 39 geylang,apartment,0,aljunied,geylang,feb-18,1044,06 to 10,980000
63014585,sturdee residences,beatty road,condominium,8,lavender,kallang,oct-17,947,21 to 25,1505800
56812790,irwell hill residences,irwell hill,apartment,9,leonie hill,river valley,sep-21,861,21 to 25,2356000
89944683,high park residences,fernvale road,apartment,28,fernvale,sengkang,nov-19,667,06 to 10,738000
82622430,chancery park,chancery lane,condominium,11,malcolm,novena,jun-17,2486,01 to 05,3600000
23203476,the interweave,kim keat road,apartment,12,balestier,novena,apr-18,689,21 to 25,940000
99674220,sea horizon,pasir ris rise,executive condominium,18,pasir ris park,pasir ris,nov-21,1679,11 to 15,1830000
29656029,queens peak,dundee road,condominium,3,margaret drive,queenstown,oct-17,807,06 to 10,1254000
48362555,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,jun-20,1033,01 to 05,1366000
57287413,the m,middle road,apartment,7,bugis,downtown core,feb-20,614,06 to 10,1355300
60999274,trilive,tampines road,condominium,19,lorong ah soo,hougang,jul-20,549,06 to 10,885000
77339755,avenue south residence,silat avenue,apartment,3,kampong tiong bahru,bukit merah,apr-21,527,41 to 45,1180000
56642207,rio vista,upper serangoon view,condominium,19,kangkar,hougang,aug-20,1055,11 to 15,815000
34076727,d'leedon,leedon heights,condominium,10,farrer court,bukit timah,may-17,1033,06 to 10,1688000
81868675,the coast at sentosa cove,ocean drive,condominium,0,sentosa,southern islands,feb-21,2626,01 to 05,4200000
75335222,hilltops,cairnhill circle,condominium,9,cairnhill,newton,sep-17,2390,16 to 20,8819000
57989501,compass heights,sengkang square,apartment,19,sengkang town centre,sengkang,may-21,2390,11 to 15,1800000
35209059,inz residence,choa chu kang avenue 5,executive condominium,23,peng siang,choa chu kang,mar-17,1109,06 to 10,865500
64667269,artra,alexandra view,apartment,3,redhill,bukit merah,feb-18,786,26 to 30,1523700
99779237,one jervois,jervois close,condominium,10,chatsworth,tanglin,feb-18,1173,01 to 05,2008888
68346417,changi court,upper changi road east,condominium,16,xilin,tampines,sep-17,1389,01 to 05,1308000
34171365,penrose,sims drive,apartment,14,aljunied,geylang,sep-20,-1,06 to 10,1443500
71473227,parc riviera,west coast vale,condominium,5,west coast,clementi,feb-17,463,26 to 30,602000
66424104,heritage view,dover rise,condominium,5,dover,queenstown,jul-20,969,06 to 10,1200000
18078772,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,oct-18,463,06 to 10,627000
51199652,the interlace,depot road,condominium,4,depot road,bukit merah,oct-19,1744,11 to 15,2290000
22754912,floridian,bukit timah road,condominium,21,holland road,bukit timah,sep-19,872,06 to 10,1598888
52369637,compass heights,sengkang square,apartment,19,sengkang town centre,sengkang,mar-18,667,06 to 10,705000
57974415,waterwoods,punggol field walk,executive condominium,19,punggol field,punggol,dec-20,807,11 to 15,780000
18855672,the garden residences,serangoon north view,apartment,19,serangoon garden,serangoon,jan-21,1981,11 to 15,2793400
29228662,bedok court,bedok south avenue 3,condominium,16,bedok south,bedok,may-17,2260,01 to 05,1630000
13133944,grandeur 8,ang mo kio central 3,condominium,20,ang mo kio town centre,ang mo kio,jul-21,-1,01 to 05,1150000
40683000,river isles,edgedale plains,condominium,19,punggol field,punggol,jun-19,1173,11 to 15,1160000
47881760,foresque residences,petir road,condominium,23,dairy farm,bukit panjang,apr-18,1916,21 to 25,1850000
27314379,canberra residences,canberra drive,condominium,27,sembawang springs,sembawang,oct-20,614,01 to 05,590000
63123999,amaranda gardens,serangoon avenue 3,condominium,19,serangoon central,serangoon,jun-17,1163,11 to 15,1640000
96550058,eight riversuites,whampoa east,condominium,12,bendemeer,kallang,oct-17,441,06 to 10,683000
35019610,livia,pasir ris grove,condominium,18,pasir ris central,pasir ris,sep-20,1744,01 to 05,1490000
46579395,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,aug-19,657,06 to 10,890000
60084415,twin vew,west coast vale,apartment,0,west coast,clementi,may-18,710,11 to 15,963000
26481996,watertown,punggol central,apartment,19,punggol town centre,punggol,apr-20,1109,11 to 15,1515000
47786195,daintree residence,toh tuck road,condominium,21,anak bukit,bukit timah,jul-20,678,01 to 05,1165700
57096318,leedon green,leedon heights,condominium,10,farrer court,bukit timah,oct-20,1496,11 to 15,4139800
70292510,seletar park residence,seletar road,condominium,28,seletar hills,serangoon,jun-19,1507,01 to 05,1345000
59067046,hillsta,phoenix road,condominium,23,gombak,bukit batok,jan-18,635,16 to 20,740000
20795713,the venue residences,tai thong crescent,apartment,13,sennett,toa payoh,mar-17,1152,01 to 05,1531000
33239104,sol acres,choa chu kang grove,executive condominium,23,keat hong,choa chu kang,feb-17,614,06 to 10,473000
94744535,the trilinq,jalan lempeng,condominium,5,faber,clementi,jun-17,1346,26 to 30,1664000
17324740,treasure place,lorong sarhad,condominium,5,pasir panjang 2,queenstown,feb-18,1324,01 to 05,1550000
40222312,livia,pasir ris grove,condominium,18,pasir ris central,pasir ris,apr-20,1346,01 to 05,1060000
97065291,grandeur park residences,bedok south avenue 3,condominium,0,bedok south,bedok,may-18,893,01 to 05,1273112
28812847,kingsford waterbay,upper serangoon view,apartment,19,kangkar,hougang,jan-18,689,06 to 10,992556
90236933,the watergardens at canberra,canberra drive,apartment,27,sembawang springs,sembawang,aug-21,1109,01 to 05,1635000
11894902,whitewater,pasir ris street 72,executive condominium,18,pasir ris west,pasir ris,apr-18,1141,01 to 05,820000
36938204,springdale condominium,hindhede walk,condominium,21,nature reserve,bukit panjang,mar-17,1152,01 to 05,1180000
94690754,rochelle at newton,keng lee road,condominium,11,moulmein,novena,apr-21,-1,01 to 05,1580000
32285064,duchess crest,duchess avenue,condominium,10,coronation road,bukit timah,jan-21,1711,01 to 05,2050000
54446809,park colonial,woodleigh lane,condominium,0,woodleigh,toa payoh,sep-19,980,01 to 05,1627000
60488298,martin modern,martin place,condominium,9,institution hill,river valley,oct-17,850,21 to 25,2098327
34253772,the line @ tanjong rhu,tanjong rhu road,condominium,15,tanjong rhu,kallang,jul-17,570,06 to 10,1309000
25037486,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,mar-19,678,06 to 10,968000
83304430,queens peak,dundee road,condominium,3,margaret drive,queenstown,jun-17,441,16 to 20,770000
45582122,sky@eleven,thomson lane,condominium,11,toa payoh central,toa payoh,mar-17,1851,26 to 30,2950000
40010328,hillbrooks,hillview avenue,condominium,23,hillview,bukit batok,feb-18,1130,01 to 05,1088000
51926929X,forest hills condominium,transit road,condominium,26,nee soon,yishun,dec-17,-1,01 to 05,818000
59385830,dairy farm residences,dairy farm lane,apartment,23,dairy farm,bukit panjang,aug-21,936,11 to 15,1582300
72501257,principal garden,prince charles crescent,condominium,3,alexandra north,bukit merah,apr-17,786,11 to 15,1283000
77364453,marina one residences,marina way,apartment,1,central subzone,downtown core,mar-18,-1,06 to 10,2512300
53036388,natura@hillview,hillview terrace,apartment,23,guilin,bukit batok,mar-21,527,06 to 10,755000
46203236,grandeur park residences,bedok south avenue 3,condominium,16,bedok south,bedok,mar-17,-1,01 to 05,714000
49822742,affinity at serangoon,serangoon north avenue 1,apartment,19,serangoon garden,serangoon,jun-18,614,01 to 05,948000
42202878,aspen heights,river valley road,condominium,9,institution hill,river valley,oct-20,-1,01 to 05,2330000
11219037,parc canberra,canberra walk,executive condominium,27,sembawang east,sembawang,feb-20,818,01 to 05,910000
36482257,robin residences,robin drive,condominium,10,nassim,tanglin,aug-17,-1,01 to 05,3870000
33576667,park colonial,woodleigh lane,condominium,13,woodleigh,toa payoh,dec-18,667,01 to 05,1232000
46305451,pollen & bleu,farrer drive,condominium,10,tyersall,tanglin,mar-17,1163,01 to 05,2125850
11365571X,la fiesta,sengkang square,condominium,19,sengkang town centre,sengkang,jul-21,753,01 to 05,950000
76455003,hillcrest arcadia,arcadia road,condominium,11,hillcrest,bukit timah,may-17,-1,01 to 05,1340000
83077508,bishan point,bright hill drive,condominium,20,upper thomson,bishan,aug-18,-1,11 to 15,1318000
66818237,belmond green,balmoral road,condominium,10,nassim,tanglin,apr-21,1313,06 to 10,2720000
84128830,the garden residences,serangoon north view,apartment,19,serangoon garden,serangoon,jul-19,517,11 to 15,816000
20308568,concourse skyline,beach road,apartment,7,nicoll,downtown core,may-20,1152,16 to 20,1850000
96757891,parbury hill condominium,parbury avenue,condominium,0,bedok south,bedok,apr-18,904,01 to 05,945000
33535173,the trilinq,jalan lempeng,condominium,5,faber,clementi,jul-17,538,26 to 30,825000
81312970,mayfair gardens,rifle range road,condominium,21,swiss club,bukit timah,oct-18,646,01 to 05,1181000
16220326,rivercove residences,anchorvale lane,executive condominium,19,anchorvale,sengkang,apr-18,1216,11 to 15,1211500
29025576,waterfront gold,bedok reservoir road,condominium,16,bedok reservoir,bedok,may-21,872,11 to 15,1150000
70937797,sophia hills,mount sophia,condominium,9,mount emily,rochor,aug-17,592,01 to 05,1200000
63332208,the quinn,bartley road,apartment,0,upper paya lebar,serangoon,jan-21,700,01 to 05,1080000
25386980,the scala,serangoon avenue 3,apartment,19,serangoon central,serangoon,may-17,-1,06 to 10,1420000
55903500,normanton park,normanton park,apartment,5,kent ridge,queenstown,jan-21,646,16 to 20,1153110
91286033,26 newton,newton road,apartment,11,moulmein,novena,mar-18,775,21 to 25,2058000
69670316,haig court,haig road,condominium,15,katong,marine parade,jan-19,1399,11 to 15,1900000
83110242,the visionaire,canberra drive,executive condominium,27,sembawang springs,sembawang,jan-17,1453,01 to 05,1090500
69642323,sophia hills,mount sophia,condominium,9,mount emily,rochor,sep-17,592,06 to 10,1245000
19077224,valley park,river valley road,condominium,10,institution hill,river valley,sep-18,1313,01 to 05,2170000
56570821,midtown modern,tan quee lan street,apartment,7,bugis,downtown core,mar-21,635,01 to 05,1633500
85596305,stirling residences,stirling road,apartment,3,mei chin,queenstown,jul-18,678,11 to 15,1291000
29574608,sims urban oasis,sims drive,condominium,14,aljunied,geylang,aug-21,958,01 to 05,1450000
30489966,parc clematis,jalan lempeng,apartment,5,faber,clementi,aug-20,-1,11 to 15,1203000
28176890,dairy farm residences,dairy farm lane,apartment,23,dairy farm,bukit panjang,aug-20,710,11 to 15,1159900
63491820,the waterina,lorong 40 geylang,apartment,14,aljunied,geylang,sep-17,-1,01 to 05,1050000
31672812,jadescape,shunfu road,condominium,20,upper thomson,bishan,aug-20,1259,16 to 20,2245900
65191446,piermont grand,sumang walk,executive condominium,19,punggol town centre,punggol,jan-20,969,06 to 10,1027890
96276564,forest woods,lorong lew lian,condominium,19,upper paya lebar,serangoon,jun-17,915,06 to 10,1265000
28636218,versilia on haig,ipoh lane,condominium,15,geylang east,geylang,apr-17,1335,01 to 05,1650000
15657167,the trilinq,jalan lempeng,condominium,5,faber,clementi,aug-21,710,26 to 30,1133000
83657675,ki residences at brookvale,brookvale drive,condominium,0,sunset way,clementi,dec-20,753,06 to 10,1348000
72907728,rio vista,upper serangoon view,condominium,19,kangkar,hougang,dec-17,1249,06 to 10,1020000
94128402,arena residences,guillemard crescent,apartment,14,aljunied,geylang,nov-18,807,11 to 15,1472000
91826987,the merasaga,jalan merah saga,condominium,10,leedon park,bukit timah,aug-21,1356,01 to 05,2400000
76038573,citylights,jellicoe road,condominium,8,lavender,kallang,aug-17,872,31 to 35,1390000
47304262,thomson 800,thomson road,condominium,11,toa payoh west,toa payoh,jun-21,1324,01 to 05,2000000
23116792,signature at yishun,yishun street 51,executive condominium,27,lower seletar,yishun,jul-17,1184,11 to 15,969705
45133859X,the watergardens at canberra,canberra drive,apartment,27,sembawang springs,sembawang,aug-21,969,01 to 05,1208000
87191496,carabelle,west coast way,condominium,5,west coast,clementi,jun-17,-1,01 to 05,1220000
60467390,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,jul-20,678,01 to 05,916000
80076311,the visionaire,canberra drive,executive condominium,27,sembawang springs,sembawang,apr-17,1206,06 to 10,863000
19851759,the tampines trilliant,tampines central 7,executive condominium,18,tampines east,tampines,feb-21,872,01 to 05,925000
55207768,selanting green,jalan selanting,apartment,21,anak bukit,bukit timah,dec-20,1528,01 to 05,1600000
86219981,view at kismis,lorong kismis,apartment,21,anak bukit,bukit timah,oct-19,592,01 to 05,1059000
51897340,twin vew,west coast vale,apartment,5,west coast,clementi,may-18,904,06 to 10,1204000
66982893,the tapestry,tampines street 86,condominium,18,tampines west,tampines,mar-18,474,01 to 05,651200
55507657,parc clematis,jalan lempeng,apartment,5,faber,clementi,aug-19,700,06 to 10,1106000
74523821,stellar rv,river valley road,apartment,10,chatsworth,tanglin,jun-18,452,01 to 05,868000
99406537,the miltonia residences,miltonia close,condominium,27,lower seletar,yishun,nov-21,1507,01 to 05,1350000
11963290,parc riviera,west coast vale,condominium,5,west coast,clementi,jun-21,1152,16 to 20,1580000
23650841,tedge,changi road,apartment,14,frankel,bedok,mar-20,861,01 to 05,1433797
51304861,the calrose,yio chu kang road,condominium,26,yio chu kang west,ang mo kio,feb-19,1625,01 to 05,1330000
51927991,le nouvel ardmore,ardmore park,condominium,10,orange grove,newton,jan-20,3821,26 to 30,15800000
78521047,the garden residences,serangoon north view,apartment,19,serangoon garden,serangoon,jan-21,1539,01 to 05,2190000
16739710,esparina residences,compassvale bow,executive condominium,19,compassvale,sengkang,apr-21,936,16 to 20,1060000
74983527,the linear,upper bukit timah road,apartment,23,jelebu,bukit panjang,jan-18,-1,01 to 05,1080000
65479886,high oak condominium,toh tuck road,condominium,21,anak bukit,bukit timah,sep-17,1227,01 to 05,975000
18376044,clavon,clementi avenue 1,apartment,5,clementi woods,clementi,may-21,1356,06 to 10,2050000
70294231,the woodleigh residences,bidadari park drive,apartment,13,bidadari,toa payoh,may-19,700,01 to 05,1213000
49568337,excellence mansions,lorong 27 geylang,apartment,14,aljunied,geylang,nov-17,1238,01 to 05,1300000
63604535,singa hills,jalan singa,apartment,14,kaki bukit,bedok,nov-17,-1,01 to 05,958360
42284462,sophia hills,mount sophia,condominium,9,mount emily,rochor,aug-17,710,01 to 05,1407000
28560147,hilltops,cairnhill circle,condominium,9,cairnhill,newton,mar-19,829,16 to 20,2678000
54463569,roots @ transit,transit road,apartment,26,nee soon,yishun,may-21,592,01 to 05,744800
67180121,daintree residence,toh tuck road,condominium,21,anak bukit,bukit timah,nov-20,1055,01 to 05,1858670
71524472,kopar at newton,makeway avenue,apartment,9,moulmein,novena,jun-20,1604,01 to 05,3481000
85279691,the m,middle road,apartment,7,bugis,downtown core,feb-20,527,01 to 05,1147600
39495842,the riverine by the park,kallang road,apartment,12,kampong bugis,kallang,feb-20,980,16 to 20,1590000
57150569,leonie gardens,leonie hill,condominium,9,leonie hill,river valley,dec-19,2540,11 to 15,3700000
28445725,parkview apartments,bukit batok street 25,apartment,0,bukit batok south,bukit batok,oct-19,1087,01 to 05,780000
