transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
87636638,https://condo-sg.com/treasure-at-tampines-8252,treasure at tampines,condominium,18,tampines east,tampines,mar-19,614,11 to 15,A,891000
58687324,https://condo-sg.com/rosewood-4702,rosewood,condominium,25,woodgrove,woodlands,apr-21,1884,16 to 20,A,1238000
62034757,https://condo-sg.com/parc-botannia-2468,parc botannia,condominium,28,fernvale,sengkang,apr-19,667,11 to 15,A,903070
28935181,https://condo-sg.com/seaside-residences-5411,seaside residences,apartment,15,siglap,bedok,aug-17,592,16 to 20,A,1086000
24265305,https://condo-sg.com/parc-greenwich-1814,parc greenwich,executive condominium,28,fernvale,sengkang,nov-21,1206,11 to 15,A,1599000
88086725,https://condo-sg.com/dover-parkview-6986,dover parkview,condominium,5,dover,queenstown,apr-17,1249,11 to 15,A,1330000
97304204,https://condo-sg.com/normanton-park-8901,normanton park,apartment,5,kent ridge,queenstown,sep-21,969,11 to 15,A,1731510
69576339,https://condo-sg.com/hillview-heights-4682,hillview heights,condominium,23,hillview,bukit batok,apr-19,1647,06 to 10,A,1938000
64925775,https://condo-sg.com/sculptura-ardmore-8451,sculptura ardmore,condominium,10,orange grove,newton,jul-19,3584,21 to 25,A,16800000
98065029,https://condo-sg.com/jadescape-4731,jadescape,condominium,20,upper thomson,bishan,nov-19,904,11 to 15,A,1518000
96395944,https://condo-sg.com/the-quartz-2429,the quartz,condominium,19,compassvale,sengkang,feb-18,1195,16 to 20,A,1130000
98086839,https://condo-sg.com/bartley-residences-6310,bartley residences,apartment,19,upper paya lebar,serangoon,jun-20,463,11 to 15,A,688000
67907550,https://condo-sg.com/vue-8-residence-2348,vue 8 residence,condominium,18,pasir ris west,pasir ris,jul-21,1313,11 to 15,A,1680000
12989371,https://condo-sg.com/kovan-regency-9319,kovan regency,condominium,19,kovan,hougang,nov-19,1055,01 to 05,A,1390000
25931369,https://condo-sg.com/stirling-residences-1021,stirling residences,apartment,3,mei chin,queenstown,jul-18,657,01 to 05,A,1116000
74316434,https://condo-sg.com/new-futura-7197,new futura,condominium,9,leonie hill,river valley,dec-18,1830,26 to 30,A,6941700
64779248,https://condo-sg.com/seastrand-8983,seastrand,condominium,18,pasir ris park,pasir ris,jan-21,1195,11 to 15,A,1150000
10444983,https://condo-sg.com/sunshine-plaza-2253,sunshine plaza,apartment,7,bencoolen,rochor,nov-18,1130,06 to 10,A,1425000
38397880,https://condo-sg.com/the-sail-@-marina-bay-6792,the sail @ marina bay,apartment,1,central subzone,downtown core,nov-18,1647,11 to 15,A,2955000
10500037,https://condo-sg.com/kallang-riverside-2864,kallang riverside,apartment,12,kampong bugis,kallang,jun-18,517,21 to 25,A,1378523
92372500,https://condo-sg.com/sims-urban-oasis-1327,sims urban oasis,condominium,14,aljunied,geylang,jan-19,474,01 to 05,A,780000
52761399,https://condo-sg.com/treasure-at-tampines-1863,treasure at tampines,condominium,18,tampines east,tampines,sep-21,1238,06 to 10,A,1788000
32822319,https://condo-sg.com/hillview-regency-4161,hillview regency,condominium,23,guilin,bukit batok,apr-17,969,06 to 10,A,820000
79111530,https://condo-sg.com/parc-central-residences-6283,parc central residences,executive condominium,18,tampines west,tampines,jan-21,936,06 to 10,A,1071000
16149870,https://condo-sg.com/seaside-residences-7197,seaside residences,apartment,15,siglap,bedok,aug-17,786,01 to 05,A,1231000
58675630,https://condo-sg.com/parc-clematis-8585,parc clematis,apartment,5,faber,clementi,jun-20,721,21 to 25,A,1161000
51369224,https://condo-sg.com/the-commodore-2312,the commodore,condominium,27,sembawang springs,sembawang,nov-21,1378,01 to 05,A,1972000
15849330,https://condo-sg.com/amber-park-5498,amber park,condominium,15,marine parade,marine parade,may-19,5005,16 to 20,A,12600000
52965281,https://condo-sg.com/the-waterside-9648,the waterside,condominium,15,tanjong rhu,kallang,mar-21,2400,16 to 20,A,4000000
31350052,https://condo-sg.com/cairnhill-crest-6517,cairnhill crest,condominium,9,cairnhill,newton,jan-17,1206,16 to 20,A,2150000
69734486,https://condo-sg.com/guilin-court-9585,guilin court,apartment,14,aljunied,geylang,mar-18,1163,01 to 05,A,900000
20595483,https://condo-sg.com/valley-park-8529,valley park,condominium,10,institution hill,river valley,jul-21,1615,01 to 05,A,3200000
42413433,https://condo-sg.com/avenue-south-residence-3443,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,jun-21,1109,36 to 40,A,2394000
82229563,https://condo-sg.com/lilydale-4157,lilydale,executive condominium,27,yishun east,yishun,mar-21,1324,01 to 05,A,880000
28293986,https://condo-sg.com/changi-court-5950,changi court,condominium,16,xilin,tampines,jul-17,1389,01 to 05,A,1230000
68494946,https://condo-sg.com/the-jovell-9901,the jovell,condominium,17,flora drive,pasir ris,may-21,721,06 to 10,A,976700
90334981,https://condo-sg.com/parc-clematis-9753,parc clematis,apartment,5,faber,clementi,jan-21,893,21 to 25,A,1214500
74656892,https://condo-sg.com/jadescape-4582,jadescape,condominium,20,upper thomson,bishan,sep-18,646,06 to 10,A,1060000
56607961,https://condo-sg.com/penrose-2119,penrose,apartment,14,aljunied,geylang,oct-21,1389,11 to 15,A,2301000
57554890,https://condo-sg.com/belle-vue-residences-6437,belle vue residences,condominium,9,oxley,river valley,sep-20,1765,01 to 05,A,3500000
