transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
74539917.0,https://condo-sg.com/the-m-5637,the_m,apartment,7,bugis,downtown core,mar-21,635,16 to 20,A,1675000
83362448.0,https://condo-sg.com/bukit-828-6341,bukit_828,apartment,23,jelebu,bukit panjang,mar-20,1,06 to 10,A,1408000
74310682.0,https://condo-sg.com/the-creek-@-bukit-5677,the creek @ bukit,condominium,21,anak bukit,bukit timah,oct-17,850,01 to 05,A,1524645
79736691.0,https://condo-sg.com/nyon-8375,nyon,apartment,15,marine parade,marine parade,feb-21,721,06 to 10,A,1600000
24691661.0,https://condo-sg.com/uptown-@-farrer-9228,uptown @ farrer,apartment,8,lavender,kallang,aug-21,1184,11 to 15,A,2045000
32740696.0,https://condo-sg.com/parc-riviera-6099,parc_riviera,condominium,5,west coast,clementi,feb-18,1,31 to 35,A,1493000
88102116.0,https://condo-sg.com/boathouse-residences-2411,boathouse residences,condominium,19,kangkar,hougang,dec-21,732,11 to 15,A,880000
25111084.0,https://condo-sg.com/midtown-modern-1853,midtown modern,apartment,7,bugis,Downtown Core,apr-21,1066,11 to 15,A,2576970
34850327.0,https://condo-sg.com/cairnhill-residences-7771,cairnhill residences,apartment,9,cairnhill,newton,feb-17,1163,06 to 10,A,2280000
43557126.0,https://condo-sg.com/the-bayshore-5929,the bayshore,condominium,16,bayshore,bedok,dec-20,1001,11 to 15,A,935000
93125682.0,https://condo-sg.com/martin-modern-5911,martin modern,condominium,9,institution hill,river valley,may-21,1087,26 to 30,A,3172900
64758492.0,https://condo-sg.com/queens-2444,queens,condominium,3,mei chin,queenstown,apr-21,1195,01 to 05,A,1500000
46505485.0,https://condo-sg.com/sol-acres-9317,sol_acres,executive condominium,23,keat hong,choa chu kang,feb-17,850,01 to 05,A,658000
15133760.0,https://condo-sg.com/buckley-classique-2921,buckley classique,condominium,11,moulmein,novena,dec-17,1410,01 to 05,A,2880000
12199323.0,https://condo-sg.com/penrose-5086,penrose,apartment,14,aljunied,geylang,sep-20,936,01 to 05,A,1349000
11535112.0,https://condo-sg.com/one-pearl-bank-3702,one pearl bank,apartment,3,pearl's hill,outram,dec-21,431,16 to 20,A,1154000
24093188.0,https://condo-sg.com/daintree-residence-2809,daintree residence,condominium,21,anak bukit,bukit timah,aug-20,775,01 to 05,A,1361980
21837417.0,https://condo-sg.com/watertown-7367,watertown,apartment,19,punggol town centre,punggol,aug-21,1582,01 to 05,A,1950000
44118159.0,https://condo-sg.com/the-horizon-9855,the horizon,condominium,10,chatsworth,tanglin,may-26,1722,06 to 10,A,2428000
17196198.0,https://condo-sg.com/the-florence-residences-4503,the_florence_residences,apartment,19,kovan,hougang,mar-20,667,06 to 10,A,1002000
