transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
14327597,http://condo-sg.com/park-natura-6356,park natura,bukit batok east avenue 6,condominium,23,anak bukit,bukit timah,jun-17,2583,01 to 05,A,2300000
95824802,http://condo-sg.com/treasure-at-tampines-4266,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,aug-19,463,01 to 05,A,660000
47901165,,the clement canopy,clementi avenue 1,apartment,5,clementi woods,clementi,apr-18,1109,21 to 25,A,1626000
22124885,http://condo-sg.com/robertson-blue-4277,robertson blue,robertson quay,apartment,9,robertson quay,singapore river,mar-18,1238,06 to 10,A,2700000
73641359,http://condo-sg.com/parc-life-5207,parc life,sembawang crescent,executive condominium,27,sembawang central,sembawang,feb-18,1066,11 to 15,A,903000
68582183,http://condo-sg.com/parc-canberra-5101,parc canberra,canberra walk,executive condominium,27,sembawang east,sembawang,feb-20,1076,11 to 15,A,1069000
47148106,http://condo-sg.com/penrose-4890,penrose,sims drive,apartment,14,aljunied,geylang,apr-21,1098,06 to 10,A,1806000
25444781,http://condo-sg.com/rv-altitude-1577,rv altitude,river valley road,apartment,9,leonie hill,river valley,mar-21,570,21 to 25,A,1633000
93425032,http://condo-sg.com/riverfront-residences-5434,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,jul-18,463,01 to 05,A,625000
65512381,http://condo-sg.com/carpmael-thirty-eight-1766,carpmael thirty-eight,carpmael road,apartment,15,geylang east,geylang,dec-19,1173,01 to 05,A,1782000
43452988,http://condo-sg.com/the-miltonia-residences-7169,the miltonia residences,miltonia close,condominium,27,lower seletar,yishun,nov-20,990,01 to 05,A,888000
23997210,,butterworth 8,butterworth lane,condominium,15,geylang east,,oct-21,1464,11 to 15,A,2550000
39473523,http://condo-sg.com/woodhaven-9208,woodhaven,woodgrove avenue,condominium,25,woodgrove,woodlands,jun-19,603,01 to 05,A,630000
94620353,http://condo-sg.com/seastrand-4169,seastrand,pasir ris link,condominium,18,pasir ris park,pasir ris,nov-18,1109,06 to 10,A,1040000
81502386,http://condo-sg.com/orchid-park-condominium-1196,orchid park condominium,yishun street 81,condominium,27,yishun south,yishun,feb-20,1668,11 to 15,A,1255000
78490689,http://condo-sg.com/bayville-condominium-3218,bayville condominium,south buona vista road,condominium,5,pasir panjang 2,queenstown,dec-20,1206,01 to 05,A,1380000
72089154,http://condo-sg.com/astoria-park-4626,astoria park,lorong mydin,condominium,14,kembangan,bedok,jan-18,1173,01 to 05,A,1020000
60516261,http://condo-sg.com/scotts-square-4590,scotts square,scotts road,apartment,9,boulevard,orchard,feb-18,947,16 to 20,A,
62245257,http://condo-sg.com/the-visionaire-9910,the visionaire,canberra drive,executive condominium,27,sembawang springs,sembawang,jul-17,1335,11 to 15,A,1028000
81215381,http://condo-sg.com/sunshine-regency-4191,sunshine regency,rambai road,apartment,15,katong,marine parade,mar-20,764,01 to 05,A,910000
67051008,http://condo-sg.com/kingsford-waterbay-7725,kingsford waterbay,upper serangoon view,apartment,19,kangkar,hougang,may-17,1033,01 to 05,A,1160000
27296255,http://condo-sg.com/flamingo-valley-4253,flamingo valley,siglap road,condominium,15,frankel,bedok,dec-21,1485,01 to 05,A,2380000
77130009,http://condo-sg.com/penrose-6244,penrose,sims drive,apartment,14,aljunied,geylang,sep-20,958,06 to 10,A,1357000
76241066,http://condo-sg.com/neu-at-novena-4966,neu at novena,moulmein rise,apartment,11,moulmein,novena,nov-19,646,11 to 15,A,1720000
55244435,http://condo-sg.com/sky-everton-6235,sky everton,everton road,apartment,2,everton park,bukit merah,dec-21,1346,31 to 35,A,3895000
52440675,http://condo-sg.com/the-pearl-@-mount-faber-2507,the pearl @ mount faber,mount faber road,condominium,4,maritime square,bukit merah,mar-21,1389,06 to 10,A,1666800
76871762,http://condo-sg.com/woodsvale-4215,woodsvale,woodlands drive 72,executive condominium,25,woodlands east,woodlands,sep-20,1313,01 to 05,A,737000
57357914,http://condo-sg.com/midtown-modern-1019,midtown modern,tan quee lan street,apartment,7,bugis,downtown core,mar-21,474,11 to 15,A,1245420
50665089,http://condo-sg.com/ascentia-sky-1089,ascentia sky,alexandra view,condominium,3,redhill,bukit merah,apr-20,1991,41 to 45,A,3190000
89090637,http://condo-sg.com/the-petals-1234,the petals,hillview avenue,condominium,23,hillview,bukit batok,oct-18,1636,01 to 05,A,1800000
18424270,http://condo-sg.com/eon-shenton-6656,eon shenton,shenton way,apartment,2,tanjong pagar,downtown core,aug-17,947,26 to 30,A,1982736
50978909,http://condo-sg.com/riverfront-residences-7593,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,apr-20,581,16 to 20,A,695000
27991990,http://condo-sg.com/whistler-grand-1152,whistler grand,west coast vale,apartment,5,west coast,clementi,jun-19,958,16 to 20,A,1346220
43502183,http://condo-sg.com/stars-of-kovan-1345,stars of kovan,upper serangoon road,apartment,19,lorong ah soo,hougang,jan-18,958,16 to 20,A,1527000
15393808,http://condo-sg.com/the-tre-ver-5999,the tre ver,potong pasir avenue 1,condominium,13,potong pasir,toa payoh,mar-19,1109,06 to 10,A,1716000
16731723,http://condo-sg.com/the-clearwater-6062,the clearwater,bedok reservoir view,condominium,16,bedok reservoir,bedok,may-17,1195,06 to 10,A,1030000
93058881,,the woodleigh residences,bidadari park drive,apartment,13,bidadari,toa payoh,may-21,958,11 to 15,A,2060000
96451562,http://condo-sg.com/eight-courtyards-6093,eight courtyards,canberra drive,condominium,27,yishun west,yishun,may-20,861,01 to 05,A,850000
93472648,http://condo-sg.com/riverfront-residences-3135,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,dec-18,861,16 to 20,A,1005000
51368250,http://condo-sg.com/parc-esta-6120,parc esta,sims avenue,apartment,14,geylang east,geylang,oct-20,420,16 to 20,A,848000
